entity,type,entity_type,description/context,ask,for_tagging,for_graph,for_glossary,treatment_category,indications,short_name,market_name,moa,mutations/specifics of indications,drugs_involved,therapy1,therapy2,therapy3,NCT#
ALPINE,string,ClinicalTrial,"ALPINE is a  global phase 3 trial comparing zanubrutinib(also known as: brukinsa,zanu, bru, bgb-3111) (BRUKINSA®) to ibrutinib(also known as: imbruvica,ibru, imb, ibr) in patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) that demonstrated superior progression-free survival and overall response rate for zanubrutinib(also known as: brukinsa,zanu, bru, bgb-3111)","identify whether the question has relevance with ALPINE or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,"R/R CLL, SLL",,,,,"Zanubrutinib, Ibrutinib",Zanubrutinib,Ibrutinib,,NCT03734016
ROSEWOOD,string,ClinicalTrial,"ROSEWOOD is a  phase 2 trial that evaluates the efficacy, safety, and tolerability of zanubrutinib(also known as: brukinsa,zanu, bru, bgb-3111) plus obinutuzumab(also known as: gazyva,obin, obinu) versus obinutuzumab(also known as: gazyva,obin, obinu) alone in patients with relapsed or refractory follicular lymphoma (FL) who have received two or more lines of therapy","identify whether the question has relevance with ROSEWOOD or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,R/R FL,,,,,"Zanubrutinib, Obinutuzumab",Zanubrutinib + Obinutuzumab,Obinutuzumab,,NCT03332017
SEQUOIA,string,ClinicalTrial,"SEQUOIA is a  global phase 3 trial comparing zanubrutinib(also known as: brukinsa,zanu, bru, bgb-3111) to bendamustine plus rituximab in treatment-naïve patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL); trial focuses on patients with and without the deletion of chromosome 17p","identify whether the question has relevance with SEQUOIA or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL/SLL,,,,,"Zanubrutinib, Rituximab, Bendamustine",Zanubrutinib,Rituximab + Bendamustine,,NCT03336333
ASPEN,string,ClinicalTrial,"ASPEN is a  phase 3 trial comparing zanubrutinib(also known as: brukinsa,zanu, bru, bgb-3111) to ibrutinib(also known as: imbruvica,ibru, imb, ibr) in patients with Waldenström's macroglobulinemia, focusing on efficacy and safety","identify whether the question has relevance with ASPEN or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,WM,,,,,"Zanubrutinib, Ibrutinib",Zanubrutinib,Ibrutinib,,NCT05568472
ASCEND,string,ClinicalTrial,"ASCEND is a  phase 3 trial evaluating acalabrutinib(also known as: calquence,acala, cal) versus rituximab combined with idelalisib or bendamustine in patients with relapsed or refractory chronic lymphocytic leukemia","identify whether the question has relevance with ASCEND or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Acalabrutinib, Rituximab, Idealasib, Bendamustine",Acalabrutinib,Rituximab + Idealasib/Bendamustine,,NCT03029247
ELEVATE-PR,string,ClinicalTrial,"ELEVATE-PR is a  phase 3 trial evaluating acalabrutinib(also known as: calquence,acala, cal) versus ibrutinib(also known as: imbruvica,ibru, imb, ibr) in patients with previously treated chronic lymphocytic leukemia ","identify whether the question has relevance with ELEVATE-PR or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Acalabrutinib, Ibrutinib",Acalabrutinib,Ibrutinib,,NCT05727059
AMPLIFY,string,ClinicalTrial,"AMPLIFY is a  phase 3 trial comparing acalabrutinib(also known as: calquence,acala, cal) plus venetoclax(also known as: venclexta,ven), with or without obinutuzumab(also known as: gazyva,obin, obinu), to standard chemoimmunotherapy in patients with untreated chronic lymphocytic leukemia","identify whether the question has relevance with AMPLIFY or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Acalabrutinib, Venetoclax, Obinutuzumab",Acalabrutinib + Venetoclax,Obinutuzumab,,NCT00633893
ELEVATE-TN,string,ClinicalTrial,"ELEVATE-TN is a  phase 3 study evaluating acalabrutinib(also known as: calquence,acala, cal) alone or with obinutuzumab(also known as: gazyva,obin, obinu) versus chlorambucil with obinutuzumab(also known as: gazyva,obin, obinu) in treatment-naive chronic lymphocytic leukemia","identify whether the question has relevance with ELEVATE-TN or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Acalabrutinib, Obinutuzumab, Chlorambucil ",Acalabrutinib + Obinutuzumab (or) Acalabrutinib,Obinutuzumab + Chlorambucil ,,NCT02475681
ECHO,string,ClinicalTrial,"ECHO is a  phase 3 trial evaluating acalabrutinib(also known as: calquence,acala, cal) plus bendamustine and rituximab in patients with previously untreated mantle cell lymphoma","identify whether the question has relevance with ECHO or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,MCL,,,,,"Acalabrutinib, Bendamustine, Rituximab, Chemotherapy",Acalabrutinib + Bendamustine + Rituximab,Chemotherapy,,NCT02972840
MURANO,string,ClinicalTrial,"MURANO is a  phase 3 trial evaluating the efficacy and safety of venetoclax(also known as: venclexta,ven) plus rituximab compared to bendamustine plus rituximab in patients with relapsed or refractory chronic lymphocytic leukemia (CLL)","identify whether the question has relevance with MURANO or not based on the given context,  please assign as yes or no.",1,1,1,Heme Onc,CLL,,,,,"Venetoclax, Rituximab, Bendamustine",Venetoclax + Rituximab,Rituximab + Bendamustine,,NCT02005471
