name,short_name,market_name,indications,moa,curr_company,curr_company_full_name,prev_company,prev_company_full_name,mutations/specifics of indications,treatment_category
Zanubrutinib,"zanu, bru",Brukinsa,"MCL, CLL, WM",C BTKi,BeiGene,BeiGene,,,"MCL, CLL, WM",Heme Onc
Acalabrutinib,acala,Calquence,"CLL, SLL, MCL",C BTKi,AZ,AstraZeneca,,,"CLL, SLL, MCL",Heme Onc
Pirtobrutinib,pirto,Jaypirca,"CLL, MCL",Non-C BTKi,Lilly,Lilly,,,"CLL, MCL",Heme Onc
Ibrutinib,ibru,Imbruvica,"CLL, MCL, WM",C BTKi,AbbVie,AbbVie,,,"CLL, MCL, WM",Heme Onc
Venetoclax,ven,Venclexta,"CLL, SLL AML",BCL2,AbbVie,AbbVie,,,"CLL, SLL AML",Heme Onc
Obinutuzumab,obin,Gazyva,"CLL, FL",anti-CD20 mAbs ,Roche,Roche,,,"CLL, FL",Heme Onc
Tislelizumab,Tisle,Tevimbra,,PD-1/PD-L1,BeiGene,BeiGene,,,,Heme Onc
Trastuzumab,,Herceptin,"ABC, MBC, MGC",HER2 inhibitor,Genentech ,Genentech ,,,"ABC, MBC, MGC",Solid Tumors
Trastuzumab,,Herceptin,"ABC, MBC, MGC",HER2 inhibitor,Roche ,Roche ,,,"ABC, MBC, MGC",Solid Tumors
Rezivertinib,,,NSCLC,Gen 3rd EGFR TKI,Beta (倍而达),Beta Pharma (倍而达),,,NSCLC-EGFR,Solid Tumors
Rezivertinib,,,NSCLC,Gen 3rd EGFR TKI,CSPC (石药),CSPC Pharma (石药),,,NSCLC-EGFR,Solid Tumors
Tagitanlimab,,,"NPC, BC",mAbs,Kelun-Biotech (科伦博泰),Kelun-Biotech (科伦博泰),,,"NPC, mHER2- BC, HR+/HER2- BC",Solid Tumors
Loncastuximab tesirine,,Zynlonta,"R/R LBCL, DLBCL",ADC,ADC Therapeutics ,ADC Therapeutics ,,,"R/R LBCL, DLBCL",Heme Onc
Lisocabtagene maraleucel,,Breyanzi,"FL, MCL",CAR-T,BMS,Bristol-Myers Squibb,,,"3L+FL, 3L+MCL",Heme Onc
Tarlatamab,,Imdelltra,ES-SCLC,BiTE,Amgen,Amgen,,,ES-SCLC,Solid Tumors
Zenocutuzumab,,Zeno,NSCLC,"HER2, HER3 bsAb",Merus,Merus,,,NRG1+ NSCLC,Solid Tumors
Pembrolizumab,pembro,Keytruda,"Melanoma, NSCLC, HNSCC, cHL, PMBCL, Urothelial carcinoma, MSI-H/dMMR cancers, Gastric/GEJ adenocarcinoma, Cervical cancer, HCC, RCC, TNBC, Esophageal cancer, Endometrial carcinoma, MCC, cSCC, BTC",PD-1,Merck,Merck,,,"Melanoma, NSCLC, HNSCC, cHL, PMBCL, Urothelial carcinoma, MSI-H/dMMR cancers, Gastric/GEJ adenocarcinoma, Cervical cancer, HCC, RCC, TNBC, Esophageal cancer, Endometrial carcinoma, MCC, cSCC, BTC",Solid Tumors
Nivolumab,,Opdivo,"Unresectable/metastatic melanoma, NSCLC, Malignant pleural mesothelioma, RCC, cHL, HNSCC, Urothelial carcinoma, MSI-H/dMMR metastatic colorectal cancer, Esophageal SCC, Gastric/GEJ adenocarcinoma, HCC, Malignant mesothelioma of the pleura",PD-1,BMS,Bristol-Myers Squibb,,,"Unresectable/metastatic melanoma, NSCLC, Malignant pleural mesothelioma, RCC, cHL, HNSCC, Urothelial carcinoma, MSI-H/dMMR metastatic colorectal cancer, Esophageal SCC, Gastric/GEJ adenocarcinoma, HCC, Malignant mesothelioma of the pleura",Solid Tumors
Inavolisib,,,"HR+ MBC, HER2- MBC",PL3K alpha,Roche,Roche,,,"HR+ MBC, HER2- MBC",Solid Tumors
Selpercatinib,Ret,Retevmo,"RET fusion-positive NSCLC, RET-mutant MTC, RET fusion-positive thyroid cancer, RET fusion-positive solid tumors.",RET kinase,Lilly,Lilly,,,"RET fusion-positive NSCLC, RET-mutant MTC, RET fusion-positive thyroid cancer, RET fusion-positive solid tumors.",Solid Tumors
Tovorafenib,,Ojemda,BRAF-alt pLGG,kinase inhibitor,Day One,Day One,,,BRAF-alt pLGG,Solid Tumors
Zolbetuximab,,Vyloy,HER2- GEJ adenocarcinoma,mAbs (CLDN18.2),Astellas,Astellas Pharmaceuticals,,,HER2- GEJ adenocarcinoma,Solid Tumors
Vobramitamab duocarmazine ,"vobra, vobra duo ",,,B7-H3 ADC,MacroGenics,MacroGenics,,,,Solid Tumors
Astrasentan,,,,ERA,Novartis,Novartis,,,,Solid Tumors
Astrasentan,,,,ERA,SanReno Therapeutics,SanReno Therapeutics,,,,Solid Tumors
Zigakibart,,,,mAbs (APRIL),Novartis,Novartis,,,,Solid Tumors
Zigakibart,,,,mAbs (APRIL),SanReno Therapeutics,SanReno Therapeutics,,,,Solid Tumors
Filgotinib,,Jyseleca,"RA, UC",JAK1 inhibitor,Alfasigma,Alfasigma,,,"RA, UC",Solid Tumors
DPT0218,,,,Kv1.3 inhibitor,DP Technology,DP Technology,,,,Solid Tumors
IB-MECA,,Piclidenoson ,,A3AR agonist,Can-Fite BioPharma ,Can-Fite BioPharma ,,,,Solid Tumors
Tofacitinib,,Xeljanz,"RA, PsA, UC, AS, pcJIA",JAK1/3 inhibitor,Biora Therapeutics ,Biora Therapeutics ,,,"RA, PsA, UC, AS, pcJIA",Solid Tumors
Lirentelimab,,AK002,"EG, EoD, EoE, CSU, AD (investigational)",mAbs (Siglec-8 agonist),Allakos,Allakos Inc.,,,"EG, EoD, EoE, CSU, AD (investigational)",Solid Tumors
Envafolimab,,恩维达,Solid Tumors,SubQ PD-L1,Alphamab (康宁杰瑞),Alphamab (康宁杰瑞),,,Solid Tumors,Solid Tumors
Envafolimab,,恩维达,Solid Tumors,SubQ PD-L1,3DMedicines (思路迪),3DMedicines (思路迪),,,Solid Tumors,Solid Tumors
Envafolimab,,恩维达,Solid Tumors,SubQ PD-L1,Glenmark Specialty S.A. ,Glenmark Specialty S.A. ,,,Solid Tumors,Solid Tumors
Elranatamab,,Elrexfio,RRMM,BCMAxCD3 bsAb,Pfizer,Pfizer,,,RRMM,Heme Onc
Amivantamab,,Rybrevant,NSCLC,EGFR×MET bsAb,J&J,Johnson & Johnson,,,1L EGFRm NSCLC,Solid Tumors
Amivantamab,,Rybrevant,NSCLC,EGFR×MET bsAb,Janssen Biotech,Janssen Biotech,,,1L EGFRm NSCLC,Solid Tumors
Lazertinib,,Leclaza,NSCLC,3rd Gen EGFR TKI,Yuhan,Yuhan Corporation,,,1L EGFRm NSCLC,Solid Tumors
Lazertinib,,Leclaza,NSCLC,3rd Gen EGFR TKI,Janssen Biotech,Janssen Biotech,,,1L EGFRm NSCLC,Solid Tumors
Finotonlimab,,,"HCC, renal cell carcinoma, melanoma, NSCLC, SCCHN",PD-1/PD-L1,SinoCellTech (神州细胞),SinoCellTech (神州细胞),,,1L adv. HCC ,Solid Tumors
Iruplinalkib,,Qixinko (启欣可),NSCLC,ROS1/ALK TKI,Qilu (齐鲁),Qilu (齐鲁),,,"1L ALK+ NSCLC, ROS-1 NSCLC",Solid Tumors
Olaparib,,Lynparza,"OC, BC, PC, mCRPC",PARP inhibitor,AZ,AstraZeneca,,,"BRCA-mutated ovarian cancer, breast cancer, pancreatic cancer, prostate cancer",Solid Tumors
Relmacabtagene autoleucel,,Carteyva,"LBCL, FL",CAR-T,JW Therapeutics (药明巨诺),JW Therapeutics (药明巨诺),,,"LBCL, FL",Solid Tumors
Pertuzumab + Trastuzumab + Hyaluronidase-zzxf,,Phesgo,BC,HER2 inhibitor,Roche,Roche,,,HER2-positive breast cancer,Solid Tumors
Pertuzumab + Trastuzumab + Hyaluronidase-zzxf,,Phesgo,BC,HER2 inhibitor,Greentech,Greentech,,,HER2-positive breast cancer,Solid Tumors
Garsorasib,,,NSCLC,KRAS-G12C inhibitor,InventisBio (益方生物),InventisBio (益方生物),,,2L KRAS G12Cm NSCLC ,Solid Tumors
Garsorasib,,,NSCLC,KRAS-G12C inhibitor,CTTQ(正大天晴),CTTQ(正大天晴),,,2L KRAS G12Cm NSCLC ,Solid Tumors
Toripalimab,,Loqtorzi,NPC,mAbs PD-1,Junshi (君实),Shanghai Junshi Biosciences (君实),,,NPC,Solid Tumors
Pertuzumab ,,Perjeta,BC,HER2 mAbs,Roche,Roche,,,HER2+ BC,Solid Tumors
Pertuzumab ,,Perjeta,BC,HER2 mAbs,Greentech,Greentech,,,HER2+ BC,Solid Tumors
Ziftomenib,,,AML,menin inhibitor,Kura Oncology,Kura Oncology,,,Acute myeloid leukemia (AML) with NPM1 or KMT2A mutations,Solid Tumors
Iopofosine,,,"WM, multiple myeloma, CNS lymphoma",small molecule PDC,Cellectar Biosciences,Cellectar Biosciences,,,"Relapsed/refractory multiple myeloma, 3L+ WM, CNS lymphoma",Solid Tumors
Lisocabtagene maraleucel,,Breyanzi,"FL, MCL",CD19 CAR-T,BMS,Bristol-Myers Squibb,,,"Large B-cell lymphoma, R/R FL and MCL",Heme Onc
NX-5948,,,"CLL, SLL",BTK degrader,Nurix Therapeutics,Nurix Therapeutics,,,3L+ CLL/SLL,Solid Tumors
Idecabtagene vicleucel,,Abecma,MM,BCMA-Directed CAR T,BMS,Bristol-Myers Squibb,,,R/R MM ,Heme Onc
Momelotinib,,Ojjaara,MF,JAK1/JAK2/ACVR1 inhibitor,GSK,GSK,,,Myelofibrosis with anemia,Heme Onc
AVZO-021,,,,ARTS-021; CDK2 inhibitor,Avenzo ,Avenzo Therapeutics,,,,Solid Tumors
TTFields,,Optune,NSCLC,,Novocure,Novocure,,,"Glioblastoma multiforme, mesothelioma",Solid Tumors
BLU-222,,,,CDK2,Blueprint Medicines,Blueprint Medicines,,,,Solid Tumors
BLU-958,,,,next-gen CDK2,Blueprint Medicines,Blueprint Medicines,,,,Solid Tumors
Zolbetuximab,zolbe,,,CLDN18.2,Astellas,Astellas Pharmaceuticals ,,,,Solid Tumors
Ambrx,,,,ADC,Ambrx ,Ambrx Biopharma,,,,Solid Tumors
JS006,,,,TIGIT mAbs,Junshi (君实),Shanghai Junshi Biosciences (君实),,,,Solid Tumors
Toripalimab,,Loqtorzi,NPC,PD-1/PD-L1,Junshi (君实),Shanghai Junshi Biosciences (君实),,,Metastatic or recurrent nasopharyngeal carcinoma,Solid Tumors
AVZO-021,,,,CDK2,Avenzo ,Avenzo Therapeutics,,,"HR+/HER2- metastatic breast cancer, advanced solid tumors",Solid Tumors
Domvanalimab,,,,TIGIT,Arcus ,Arcus Biosciences,,,,Solid Tumors
Sacituzumab govitecan,,Trodelvy,"TNBC, HER2- BC",TROP2 ADC,Gilead ,Gilead Sciences,,,"TNBC, HER2- BC",Solid Tumors
Tisotumab vedotin,,Tivdak,CESC,ADC,Seagen,Seagen,,,CESC,Solid Tumors
Tisotumab vedotin,,Tivdak,CESC,ADC,Genmab,Genmab,,,CESC,Solid Tumors
Tisotumab vedotin,,Tivdak,CESC,ADC,Pfizer,Pfizer,,,CESC,Solid Tumors
Enfortumab vedotin,,Padcev,UC,Nectin-4 ADC,Astellas,Astellas Pharmaceuticals,,,LA/M UC,Solid Tumors
Enfortumab vedotin,,Padcev,UC,Nectin-4 ADC,Seagen,Seagen,,,LA/M UC,Solid Tumors
Talazoparib + Enzalutamide,,,mCRPC,PARP inhibitor,Pfizer,Pfizer,,,HRR gene-mutated mCRPC,Solid Tumors
HPN328,,,,TriTE,Harpoon ,Harpoon Therapeutics,,,,Solid Tumors
HPN217,,,,TriTE,Harpoon ,Harpoon Therapeutics,,,,Solid Tumors
T-DXd,,Enhertu,BC,HER2 ADC,Daiichi,Daiichi Sankyo,,,"HER2+ BC, HER2-low BC",Solid Tumors
T-DXd,,Enhertu,BC,HER2 ADC,AZ,AstraZeneca,,,"HER2+ BC, HER2-low BC",Solid Tumors
Repotrectinib,,,"NSCLC, solid tumors.",ROS1/TRK/ALK inhibitor,Turning Point Therapeutics,Turning Point Therapeutics,,,"ROS1+ NSCLC, NTRK gene fusion+ solid tumors.",Solid Tumors
Adagrasib,,Krazati,"NSCLC, CRC",KRAS G12C inhibitor,BMS,Bristol-Myers Squibb,Mirati ,Mirati Therapeutics,"KRAS G12C-mutated NSCLC, CRC",Solid Tumors
Atezolizumab,,Tecentriq,"NSCLC, SCLC, HCC",PD-L1,Roche,Roche,,,"NSCLC, SCLC, HCC",Solid Tumors
