name,short_name,market_name,indications,moa,company,company_full_name,mutations/specifics of indications,treatment category
Zanubrutinib,"zanu, bru, ",Brukinsa,"MCL, CLL, WM",C BTKi,BeiGene,BeiGene,"MCL, CLL, WM",
Acalabrutinib,acala,Calquence,"CLL, SLL, MCL",C BTKi,AZ,AstraZeneca,"CLL, SLL, MCL",
Pirtobrutinib,pirto,Jaypirca,"CLL, MCL",Non-C BTKi,Lilly,Lilly,"CLL, MCL",
Ibrutinib,"ibru,",Imbruvica,"CLL, MCL, WM",C BTKi,AbbVie,AbbVie,"CLL, MCL, WM",
Venetoclax,ven,Venclexta,"CLL, SLL AML",BCL2,AbbVie,AbbVie,"CLL, SLL AML",
Obinutuzumab,obin,Gazyva,"CLL, FL",anti-CD20 mAbs ,Roche,Roche,"CLL, FL",
Trastuzumab,,Herceptin,"ABC, MBC, MGC",HER2 inhibitor,Genentech ,Genentech ,"ABC, MBC, MGC",
Rezivertinib,,n/a,NSCLC-EGFR,Gen 3rd EGFR TKI,"Beta (倍而达), CSPC (石药)","Beta Pharma (倍而达), CSPC Pharma (石药)",NSCLC-EGFR,
Tagitanlimab,,n/a,"NPC, mHER2- BC, HR+/HER2- BC",mAbs,Kelun-Biotech (科伦博泰),Kelun-Biotech (科伦博泰),"NPC, mHER2- BC, HR+/HER2- BC",
Loncastuximab tesirine,,Zynlonta,"R/R LBCL, DLBCL",ADC,ADC Therapeutics ,ADC Therapeutics ,"R/R LBCL, DLBCL",
Lisocabtagene maraleucel,,Breyanzi,"FL, MCL",CAR-T,BMS,Bristol-Myers Squibb,"3L+FL, 3L+MCL",
Tarlatamab,,Imdelltra,ES-SCLC,BiTE,Amgen,Amgen,ES-SCLC,
Zenocutuzumab,,Zeno,NRG1+ NSCLC,"HER2, HER3 bsAb",Merus,Merus,NRG1+ NSCLC,
Pembrolizumab,pembro,Keytruda,"Melanoma, NSCLC, HNSCC, cHL, PMBCL, Urothelial carcinoma, MSI-H/dMMR cancers, Gastric/GEJ adenocarcinoma, Cervical cancer, HCC, RCC, TNBC, Esophageal cancer, Endometrial carcinoma, MCC, cSCC, BTC",PD-1,Merck,Merck,"Melanoma, NSCLC, HNSCC, cHL, PMBCL, Urothelial carcinoma, MSI-H/dMMR cancers, Gastric/GEJ adenocarcinoma, Cervical cancer, HCC, RCC, TNBC, Esophageal cancer, Endometrial carcinoma, MCC, cSCC, BTC",
Nivolumab,,Opdivo,"Unresectable/metastatic melanoma, NSCLC, Malignant pleural mesothelioma, RCC, cHL, HNSCC, Urothelial carcinoma, MSI-H/dMMR metastatic colorectal cancer, Esophageal SCC, Gastric/GEJ adenocarcinoma, HCC, Malignant mesothelioma of the pleura",PD-1,BMS,Bristol-Myers Squibb,"Unresectable/metastatic melanoma, NSCLC, Malignant pleural mesothelioma, RCC, cHL, HNSCC, Urothelial carcinoma, MSI-H/dMMR metastatic colorectal cancer, Esophageal SCC, Gastric/GEJ adenocarcinoma, HCC, Malignant mesothelioma of the pleura",
Inavolisib,,,"HR+ MBC, HER2- MBC",PL3K alpha,Roche,Roche,"HR+ MBC, HER2- MBC",
Selpercatinib,Ret,Retevmo,"RET fusion-positive NSCLC, RET-mutant MTC, RET fusion-positive thyroid cancer, RET fusion-positive solid tumors.",RET kinase,Lilly,Lilly,"RET fusion-positive NSCLC, RET-mutant MTC, RET fusion-positive thyroid cancer, RET fusion-positive solid tumors.",
Tovorafenib,,Ojemda,BRAF-alt pLGG,kinase inhibitor,Day One,Day One,BRAF-alt pLGG,
Zolbetuximab,,Vyloy,HER2- GEJ adenocarcinoma,mAbs (CLDN18.2),Astellas,Astellas Pharmaceuticals,,
Vobramitamab duocarmazine ,"vobra, vobra duo ",n/a,,B7-H3 ADC,MacroGenics,MacroGenics,,
Astrasentan,,,,ERA,"Novartis, SanReno Therapeutics","Novartis, SanReno Therapeutics",,
Zigakibart,,,,mAbs (APRIL),"Novartis, SanReno Therapeutics","Novartis, SanReno Therapeutics",,
Filgotinib,,Jyseleca,"RA, UC",JAK1 inhibitor,Alfasigma,Alfasigma,,
DPT0218,,,,Kv1.3 inhibitor,DP Technology,DP Technology,,
IB-MECA,,Piclidenoson ,,A3AR agonist,Can-Fite BioPharma ,Can-Fite BioPharma ,,
Tofacitinib,,Xeljanz,"RA, PsA, UC, AS, pcJIA",JAK1/3 inhibitor,Biora Therapeutics ,Biora Therapeutics ,,
Lirentelimab,,AK002,"EG, EoD, EoE, CSU, AD (investigational)",mAbs (Siglec-8 agonist),Allakos,Allakos Inc.,,
Envafolimab,,恩维达,Solid Tumors,SubQ PD-L1,"Alphamab (康宁杰瑞),  3DMedicines (思路迪), Glenmark Specialty S.A. ","Alphamab (康宁杰瑞),  3DMedicines (思路迪), Glenmark Specialty S.A. ",,
Elranatamab,,Elrexfio,RRMM,BCMAxCD3 bsAb,Pfizer,Pfizer,,
Amivantamab,,Rybrevant,NSCLC,EGFR×MET bsAb,"J&J, Janssen Biotech","Johnson & Johnson, Janssen Biotech",1L EGFRm NSCLC,
Lazertinib,,Leclaza,NSCLC,3rd Gen EGFR TKI,"Yuhan, Janssen Biotech","Yuhan Corporation, Janssen Biotech",1L EGFRm NSCLC,
Finotonlimab,,n/a,"HCC, renal cell carcinoma, melanoma, NSCLC, SCCHN",PD-1/PD-L1,SinoCellTech (神州细胞),SinoCellTech (神州细胞),1L adv. HCC ,
Iruplinalkib,,Qixinko (启欣可),NSCLC,ROS1/ALK TKI,Qilu (齐鲁),Qilu (齐鲁),"1L ALK+ NSCLC, ROS-1 NSCLC",
Olaparib,,Lynparza,"OC, BC, PC, mCRPC",PARP inhibitor,AZ,AstraZeneca,"BRCA-mutated ovarian cancer, breast cancer, pancreatic cancer, prostate cancer",
Relmacabtagene autoleucel,,Carteyva,"LBCL, FL",CAR-T,JW Therapeutics (药明巨诺),JW Therapeutics (药明巨诺),,
Pertuzumab + Trastuzumab + Hyaluronidase-zzxf,,Phesgo,HER2+ BC,HER2 inhibitor,"Roche, Greentech","Roche, Greentech",HER2-positive breast cancer,
Garsorasib,,n/a,KRAS-G12C NSCLC,KRAS-G12C inhibitor,"InventisBio (益方生物), CTTQ(正大天晴)","InventisBio (益方生物), CTTQ(正大天晴)",2L KRAS G12Cm NSCLC ,solid tumors
Toripalimab,,Loqtorzi,NPC,mAbs PD-1,Junshi (君实),Shanghai Junshi Biosciences (君实),,
Pertuzumab ,,Perjeta,HER2+ BC,HER2 mAbs,"Roche, Greentech","Roche, Greentech",,
Ziftomenib,,n/a,AML,menin inhibitor,Kura Oncology,Kura Oncology,Acute myeloid leukemia (AML) with NPM1 or KMT2A mutations,
Iopofosine,,n/a,"WM, multiple myeloma, CNS lymphoma",small molecule PDC,Cellectar Biosciences,Cellectar Biosciences,"Relapsed/refractory multiple myeloma, 3L+ WM, CNS lymphoma",
Lisocabtagene maraleucel,,Breyanzi,"FL, MCL",CD19 CAR-T,BMS,Bristol-Myers Squibb,"Large B-cell lymphoma, R/R FL and MCL",
NX-5948,,n/a,"CLL, SLL",BTK degrader,Nurix Therapeutics,Nurix Therapeutics,3L+ CLL/SLL,
Idecabtagene vicleucel,,Abecma,MM,BCMA-Directed CAR T,BMS,Bristol-Myers Squibb,R/R MM ,
Momelotinib,,Ojjaara,MF,JAK1/JAK2/ACVR1 inhibitor,GSK,GSK,Myelofibrosis with anemia,
AVZO-021,,n/a,,ARTS-021; CDK2 inhibitor,Avenzo Therapeutics,Avenzo Therapeutics,"HR+/HER2- metastatic breast cancer, advanced solid tumors",
TTFields,,Optune,NSCLC,,Novocure,Novocure,"Glioblastoma multiforme, mesothelioma",
BLU-222,,n/a,,CDK2,Blueprint Medicines,Blueprint Medicines,"Advanced solid tumors, HR+/HER2- breast cancer",
BLU-958,,n/a,,next-gen CDK2,Blueprint Medicines,Blueprint Medicines,Advanced solid tumors,
Zolbetuximab,zolbe,n/a,,CLDN18.2,Astellas,Astellas Pharmaceuticals (Astellas),Gastric and gastroesophageal junction adenocarcinoma,
Ambrx,,n/a,,,Ambrx Biopharma,Ambrx Biopharma,,
JS006,,n/a,,,Junshi (君实),Shanghai Junshi Biosciences (君实),,
Toripalimab,,Loqtorzi,,,Junshi (君实),Shanghai Junshi Biosciences (君实),Metastatic or recurrent nasopharyngeal carcinoma,
AVZO-021,,n/a,,,Avenzo Therapeutics,Avenzo Therapeutics,"HR+/HER2- metastatic breast cancer, advanced solid tumors",
Domvanalimab,,n/a,,TIGIT,Arcus Biosciences,Arcus Biosciences,,
Sacituzumab govitecan,,Trodelvy,,TROP2 ADC,Gilead Sciences,Gilead Sciences,Triple-negative breast cancer,
Tisotumab vedotin,,Tivdak,,,Seagen and Genmab,Seagen and Genmab,Cervical cancer,
Enfortumab vedotin,,Padcev,,,"Astellas Pharmaceuticals (Astellas), Seagen","Astellas Pharmaceuticals (Astellas), Seagen",Urothelial cancer,
Talazoparib + Enzalutamide,,n/a,,,Pfizer,Pfizer,Metastatic castration-resistant prostate cancer,
HPN328,,n/a,,,Harpoon Therapeutics,Harpoon Therapeutics,Small cell lung cancer,
HPN217,,n/a,,,Harpoon Therapeutics,Harpoon Therapeutics,Multiple myeloma,
