Entity,Relation,Target
Sculptra,has_contraindication,CONTRAINDICATIONS
Sculptra,has_adverse_effect,treatment effect of Sculptra occurs (see INSTRUCTION FOR USE – Patient Treatment).
Sculptra,has_adverse_effect,product slowly and apply the least amount of pressure necessary. Rare but serious adverse
Sculptra,has_adverse_effect,events associated with the intravascular injection of soft tissue fillers in the face have been
Sculptra,has_adverse_effect,Sculptra post-treatment reactions have included delayed occurrence of subcutaneous papules
Sculptra,has_adverse_effect,had a prolonged time course to resolution. See ADVERSE EVENTS section for details.
Sculptra,has_adverse_effect,granulomatous reaction characterized by foreign body giant cells and macrophages. The tissue
Sculptra,has_adverse_effect,"reaction was confined to the area between particles, did not involve the surrounding tissue and"
Sculptra,has_contraindication,Sculptra vials are for single patient and single session use only in order to avoid contamination.
Sculptra,has_contraindication,Do not reuse the vial and do not re-sterilize the vial. Discard immediately after use. Do not use
Sculptra,has_adverse_effect,"The safety and effectiveness of injecting Sculptra: 1) in larger amounts, 2) at different"
Sculptra,has_adverse_effect,The safety and effectiveness of Sculptra for use in the lips has not been evaluated. Sculptra
Sculptra,has_adverse_effect,Avoid superficial injections as this may be associated with increased local adverse events such
Sculptra,has_adverse_effect,"treatment of marionette lines, see ADVERSE EVENTS, Clinical Trial, Post Approval Study."
Sculptra,has_adverse_effect,"Safety and effectiveness of Sculptra has not been evaluated in patients who are pregnant,"
Sculptra,has_adverse_effect,Safety and effectiveness of Sculptra has not been evaluated in patients with the following:
Sculptra,has_adverse_effect,Safety and effectiveness of Sculptra has not been systematically evaluated with other drugs
Sculptra,has_adverse_effect,practice to prevent cross-infections are to be followed.
Sculptra,has_contraindication,to sun and avoid UV lamp exposure and extreme temperatures until any initial swelling and
Sculptra,has_adverse_effect,reaction at the implant site. This also applies if Sculptra is administered before the skin has
Sculptra,has_adverse_effect,"• Consider safety risks associated with the use of lidocaine, including possible toxic effects in"
Sculptra,has_adverse_effect,ADVERSE EVENTS
Sculptra,has_adverse_effect,"INTENSITY OF ADVERSE EVENTS AFTER THE INITIAL TREATMENT SESSION,"
Sculptra,has_adverse_effect,Event
Sculptra,has_adverse_effect,Severity of Adverse Eventa
Sculptra,has_adverse_effect,Severity of Adverse Eventa
Sculptra,has_adverse_effect,a Subjects experiencing multiple episodes of a given adverse event are counted once for that event within the most severe
Sculptra,has_adverse_effect,b Subjects who reported multiple events in the “Other” category are counted only once within the most severe category.
Sculptra,has_adverse_effect,"Adverse Events reported as “Others” are headache, dry skin, skin peeling, rash at injection, pimples, improvement of allergy"
Sculptra,has_adverse_effect,"DURATION OF ADVERSE EVENTS AFTER THE INITIAL TREATMENT SESSION,"
Sculptra,has_adverse_effect,Event
Sculptra,has_adverse_effect,Duration of Adverse Eventa
Sculptra,has_adverse_effect,Duration of Adverse Eventa
Sculptra,has_adverse_effect,a Subjects experiencing multiple episodes of a given adverse event are counted once for that event within the longest duration category.
Sculptra,has_adverse_effect,b Subjects who reported multiple events in the “Other” category are counted only once within the longest duration category.
Sculptra,has_adverse_effect,"For list of adverse events categorized as “other”, see table 1."
Sculptra,has_adverse_effect,PHYSICIAN REPORTED* ADVERSE EVENTS AFTER ALL TREATMENTS
Sculptra,has_adverse_effect,Adverse Events
Sculptra,has_adverse_effect,Adverse events that occurred with Sculptra Aesthetic at an incidence of <1%:
Sculptra,has_adverse_effect,One subject with a papule required a single intralesional corticosteroid injection and the event
Sculptra,has_adverse_effect,spontaneously. None of these events were reported as a serious adverse event (SAE) by the
Sculptra,has_adverse_effect,"Time (days) from first device injection to start of event (median, mean, min, max)"
Sculptra,has_adverse_effect,Nodules-median days to event
Sculptra,has_adverse_effect,Nodules-mean days to event
Sculptra,has_adverse_effect,Papules-median days to event
Sculptra,has_adverse_effect,Papules-mean days to event
Sculptra,has_adverse_effect,"Event Duration, days (median, mean, min, max)"
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,c: Anatomic sides experiencing multiple episodes of event are counted once within each event category.
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,Events
Sculptra,has_adverse_effect,c: Anatomic sides experiencing multiple episodes of event are counted once within each event category.
Sculptra,has_contraindication,product use to avoid concentrated product deposits.
Sculptra,has_adverse_effect,Other Adverse Events of Interest
Sculptra,has_adverse_effect,"Adverse Events of Interest (AEIs) other than NPs were defined as hypertrophic scarring, keloid"
Sculptra,has_adverse_effect,"skin necrosis, hypersensitivity reactions, and unexpected change in wrinkle contour. The overall"
Sculptra,has_adverse_effect,hypersensitivity reactions in individuals of Fitzpatrick Skin types I-VI.
Sculptra,has_adverse_effect,to adjacent skin. These events occurred in 1/557 (0.2%) subjects of FST I-III and in 5/310 (1.6%)
Sculptra,has_adverse_effect,known to be more susceptible to PIH. All events of changes in skin pigmentation were considered
Sculptra,has_adverse_effect,study to evaluate the safety and effectiveness of Sculptra Aesthetic reconstituted in 8 mL SWFI with
Sculptra,has_adverse_effect,"treatment events in the treated area, i.e. bruising, redness, swelling, pain, tenderness, itching,"
Sculptra,has_adverse_effect,"related events for 7 subjects (11.9%), all categorized as mild in severity. In the control group, 7 out"
Sculptra,has_adverse_effect,"of 21 (33.3%) had a total of 12 treatment-related events reported, most were mild, but three of these"
Sculptra,has_adverse_effect,were considered moderate in severity (one event of rhinorrhea and two events of headache). The
Sculptra,has_adverse_effect,events occurred in one subject out of the 59 in the treatment group respectively. In the 5 mL
Sculptra,has_adverse_effect,"Two subjects reported one serious adverse event each, retinal detachment and anxiety requiring"
Sculptra,has_adverse_effect,hospitalization. None of these events were considered related to study treatment.
Sculptra,has_adverse_effect,"The frequency, intensity and duration of pre-defined events reported by the subject in the daily diary"
Sculptra,has_adverse_effect,"are presented in Tables 8 and 9. Pain, tenderness and swelling were the three events most commonly"
Sculptra,has_adverse_effect,FREQUENCY AND INTENSITY OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,Subjects reporting multiple events of the same symptom are counted once for that event within the most severe category.
Sculptra,has_adverse_effect,FREQUENCY AND DURATION OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,8-mL group was effective to manage pain during injection.
Sculptra,has_adverse_effect,subject experienced an AE of skin mass during the base study; the event was considered related to
Sculptra,has_adverse_effect,"blinded, multicenter study to evaluate the safety and effectiveness of Sculptra Aesthetic reconstituted"
Sculptra,has_adverse_effect,"treatment events in the treated area, i.e. bruising, redness, swelling, pain, tenderness, itching,"
Sculptra,has_adverse_effect,"21.3% (20/94) of females experienced a related adverse event, while no male subjects (0/5) had a"
Sculptra,has_adverse_effect,"related adverse event. Due to the small number of male subjects, conclusions cannot be drawn."
Sculptra,has_adverse_effect,"One (1.0%) subject in the treatment group experienced an adverse event of special interest (AESI),"
Sculptra,has_adverse_effect,"product or injection procedure, mild in intensity. The duration of the event was 37 days and was"
Sculptra,has_adverse_effect,RELATED ADVERSE EVENTS BY PREFERRED TERM (SAFETY POPULATION)
Sculptra,has_adverse_effect,Subjects with at least 1 related adverse event
Sculptra,has_adverse_effect,"One subject experienced 2 events of skin mass on Day 49, 9 days after the most recent injection; reported terms were"
Sculptra,has_adverse_effect,calculated as 100 × (n/N). Subjects reporting more than 1 event in a category were counted only once in that
Sculptra,has_adverse_effect,category (n). Events were coded by Medical Dictionary for Regulatory Activities version 23.1.
Sculptra,has_adverse_effect,"The frequency, intensity and duration of pre-defined events reported by the subject in the daily diary"
Sculptra,has_adverse_effect,FREQUENCY AND INTENSITY OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,symptom). Subjects reporting multiple events of the same symptom are counted once for that event within the most
Sculptra,has_adverse_effect,FREQUENCY AND DURATION OF PRE-DEFINED EVENTS
Sculptra,has_adverse_effect,"continued safety and effectiveness evaluations up to 24 months. A total of 111 subjects (39 Group A,"
Sculptra,has_adverse_effect,same effectiveness assessments as during the base study.
Sculptra,has_adverse_effect,RELATED ADVERSE EVENTS BY PREFERRED TERM (EXTENSION POPULATION)
Sculptra,has_adverse_effect,Subjects with at least 1 related adverse event
Sculptra,has_adverse_effect,calculated as 100 × (n/N). Subjects reporting more than 1 event in a category were counted only once in that category
Sculptra,has_adverse_effect,(n). Events were coded by Medical Dictionary for Regulatory Activities version 23.1. Group A subjects were untreated
Sculptra,has_adverse_effect,Subjects reporting multiple events of the same symptom were counted only once for that event within the most severe
Sculptra,has_adverse_effect,The adverse events received from post-marketing surveillance (voluntary reporting and published
Sculptra,has_adverse_effect,"• lack of effect,"
Sculptra,has_adverse_effect,"• granuloma/foreign body reaction,"
Sculptra,has_adverse_effect,"• inflammation, injection site reactions including burning sensation, discomfort, exfoliation,"
Sculptra,has_adverse_effect,"• skin discoloration, hypersensitivity/allergic reaction and angioedema,"
Sculptra,has_adverse_effect,"• other dermatological events including localized alopecia, skin dryness, skin tightness, skin"
Sculptra,has_adverse_effect,"wrinkling, skin hypertrophy and photosensitive reaction,"
Sculptra,has_adverse_effect,"non-dermatological events including anxiety, arthralgia, depression, diplopia, dizziness, dyspnea,"
Sculptra,has_adverse_effect,"When required, depending on event, treatments may include massage/manipulation, warm compress,"
Sculptra,has_adverse_effect,"product, saline injections and surgery. Events which did not resolve or where resolution information"
Sculptra,has_adverse_effect,"Scarring, mostly a non-serious event, was reported in association with skin discoloration, nodules,"
Sculptra,has_adverse_effect,"Skin discoloration was reported as a non-serious event, typically reported in association with lumps"
Sculptra,has_adverse_effect,SAEs have rarely been reported. The most commonly reported serious adverse events for Sculptra
Sculptra,has_adverse_effect,"with more than 5 reported events include papule/nodules, swelling/edema, granuloma, symptoms of"
Sculptra,has_adverse_effect,"paralysis, ischemia/necrosis, inflammation. Other concurrent events included pain,"
Sculptra,has_adverse_effect,"post-injection. While events were reported as granuloma, only a few cases were confirmed by"
