name,drugs_involved,therapy1,therapy2,indication,treatment category,NCT #,short_description
ALPINE,"Zanubrutinib, Ibrutinib",Zanubrutinib,Ibrutinib,"R/R CLL, SLL",Heme Onc,NCT03734016,A global Phase 3 trial comparing zanubrutinib (BRUKINSA®) to ibrutinib in patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) that demonstrated superior progression-free survival and overall response rate for zanubrutinib
ROSEWOOD,"Zanubrutinib, Obinutuzumab",Zanubrutinib + Obinutuzumab,Obinutuzumab,R/R FL,Heme Onc,NCT03332017,"A phase 2 trial that evaluates the efficacy, safety, and tolerability of zanubrutinib plus obinutuzumab versus obinutuzumab alone in patients with relapsed or refractory follicular lymphoma (FL) who have received two or more lines of therapy"
SEQUOIA,"Zanubrutinib, Rituximab, Bendamustine",Zanubrutinib,Rituximab + Bendamustine,CLL/SLL,Heme Onc,NCT03336333,A global Phase 3 trial comparing zanubrutinib to bendamustine plus rituximab in treatment-naïve patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL); trial focuses on patients with and without the deletion of chromosome 17p
ASPEN,"Zanubrutinib, Ibrutinib",Zanubrutinib,Ibrutinib,WM,Heme Onc,NCT05568472,"A Phase 3 trial comparing zanubrutinib to ibrutinib in patients with Waldenström's macroglobulinemia, focusing on efficacy and safety"
ASCEND,"Acalabrutinib, Rituximab, Idealasib, Bendamustine",Acalabrutinib,Rituximab + Idealasib/Bendamustine,CLL,Heme Onc,NCT03029247,A Phase 3 trial evaluating acalabrutinib versus rituximab combined with idelalisib or bendamustine in patients with relapsed or refractory chronic lymphocytic leukemia
ELEVATE-PR,"Acalabrutinib, Ibrutinib",Acalabrutinib,Ibrutinib,CLL,Heme Onc,NCT05727059,A Phase 3 trial evaluating acalabrutinib versus ibrutinib in patients with previously treated chronic lymphocytic leukemia found that acalabrutinib was noninferior in progression-free survival and had fewer cardiovascular events.
AMPLIFY,"Acalabrutinib, Venetoclax, Obinutuzumab",Acalabrutinib + Venetoclax,Obinutuzumab,CLL,Heme Onc,NCT00633893,"A Phase 3 trial comparing acalabrutinib plus venetoclax, with or without obinutuzumab, to standard chemoimmunotherapy in patients with untreated chronic lymphocytic leukemia"
ELEVATE-TN,"Acalabrutinib, Obinutuzumab, Chlorambucil ",Acalabrutinib + Obinutuzumab (or) Acalabrutinib,Obinutuzumab + Chlorambucil ,CLL,Heme Onc,NCT02475681,A Phase 3 study evaluating acalabrutinib alone or with obinutuzumab versus chlorambucil with obinutuzumab in treatment-naive chronic lymphocytic leukemia
ECHO,"Acalabrutinib, Bendamustine, Rituximab, Chemotherapy",Acalabrutinib + Bendamustine + Rituximab,Chemotherapy,MCL,Heme Onc,NCT02972840,A Phase 3 trial evaluating acalabrutinib plus bendamustine and rituximab in patients with previously untreated mantle cell lymphoma that found that the combination improved progression-free survival and showed a favorable trend in overall survival compared to standard chemoimmunotherapy
MURANO,"Venetoclax, Rituximab, Bendamustine",Venetoclax + Rituximab,Rituximab + Bendamustine,CLL,Heme Onc,NCT02005471,A Phase 3 trial evaluating the efficacy and safety of venetoclax plus rituximab compared to bendamustine plus rituximab in patients with relapsed or refractory chronic lymphocytic leukemia (CLL)
MAJIC,"Acalabrutinib, Venetoclax, Obinutuzumab",Acalabrutinib + Venetoclax,Venetoclax + Obinutuzumab,CLL/SLL,Heme Onc,NCT05057494,"A Phase 3 prospective, multicenter, randomized trial comparing acalabrutinib plus venetoclax to venetoclax plus obinutuzumab in previously untreated chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL)"
FLAIR,"Ibrutinib, Rituximab, Fludarabine, Cyclophosphamide, Rituximab (FCR)",Ibrutinib + Rituximab,"Fludarabine + Cyclophosphamide, and Rituximab (FCR)",CLL,Heme Onc,,"A Phase 3 trial comparing ibrutinib plus rituximab to fludarabine, cyclophosphamide, and rituximab (FCR) in previously untreated chronic lymphocytic leukemia (CLL) patients"
CAPTIVATE,"Ibrutinib, Venetoclax",Ibrutinib + Venetoclax,,CLL/SLL,Heme Onc,NCT02910583,A Phase 2 trial evaluating the combination of ibrutinib and venetoclax in patients with previously untreated chronic lymphocytic leukemia (CLL) and assessing minimal residual disease (MRD) status and/or small lymphocytic lymphoma (SLL).
RESONATE,"Ibrutinib, Ofatumumab",Ibrutinib,Ofatumumab,CLL,Heme Onc,NCT01578707,"A Phase 3 trial comparing ibrutinib to ofatumumab in patients with relapsed or refractory chronic lymphocytic leukemia (CLL), demonstrating superior progression-free survival and overall survival for ibrutinib"
SYMPATICO,"Ibrutinib, Venetoclax",Ibrutinib,Ibrutinib + Venetoclax,MCL,Heme Onc,NCT03112174,"A Phase 3 trial investigating the combination of ibrutinib and venetoclax in patients with relapsed or refractory mantle cell lymphoma (MCL), showing improved progression-free survival compared to ibrutinib alone."
RATIONALE-315,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,NSCLC,Solid Tumors,NCT04379635,"A Phase 3 trial of tislelizumab in combination with 
platinum-based doublet chemotherapy as neoadjuvant treatment for 
patients with non-small cell lung cancer"
RATIONALE-312,"Tislelizumab, Chemotherapy",Tislelizumab,Chemotherapy,ES-SCLC,Solid Tumors,NCT04005716,A Phase 3 trial of tislelizumab combined with platinum and etoposide versus placebo combined with platinum and etoposide in patients with extensive-stage small cell lung cancer
RATIONALE-311,"Tislelizumab, Chemotherapy",Tislelizumab + Chemotherapy,,ESCC,Solid Tumors,NCT03957590,"A Phase 3 trial of tislelizumab versus placebo in 
combination with chemoradiotherapy in patients with localized 
esophageal squamous cell carcinoma"
RATIONALE-310,"Tislelizumab, Sorafenib",Tislelizumab,Sorafenib,HCC,Solid Tumors,NCT03967977,"A Phase 3 trial in patients with locally advanced or 
metastatic urothelial carcinoma"
RATIONALE-309,"Tislelizumab, Gemcitabine, Cisplatin ",Tislelizumab + Gemcitabine + Cisplatin ,,R/M NPC,Solid Tumors,NCT03924986,A Phase 3 clinical trial evaluating the efficacy and safety of tislelizumab combined with gemcitabine and cisplatin (Arm A) versus placebo combined with gemcitabine and cisplatin (Arm B) as a first-line treatment for patients with R/M NPC
